127.0.0.1 - - [12/Jun/2021:23:42:34 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/login HTTP/1.1" 200 4526
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/vendor-fontawesome-free.css HTTP/1.1" 200 1091591
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/app.css HTTP/1.1" 200 3479702
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/app.rtl.css HTTP/1.1" 200 3479598
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/perfect-scrollbar.css HTTP/1.1" 200 2598
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/vendor-fontawesome-free.rtl.css HTTP/1.1" 200 1091600
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/vendor-material-icons.rtl.css HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/jquery.min.js HTTP/1.1" 200 89476
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/css/vendor-material-icons.css HTTP/1.1" 200 11745
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/bootstrap.min.js HTTP/1.1" 200 60174
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/popper.min.js HTTP/1.1" 200 21233
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/material-design-kit.js HTTP/1.1" 200 71288
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/dom-factory.js HTTP/1.1" 200 42448
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/dropdown.js HTTP/1.1" 200 62787
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/toggle-check-all.js HTTP/1.1" 200 17176
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/check-selected-row.js HTTP/1.1" 200 10514
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/sidebar-mini.js HTTP/1.1" 200 1052964
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/vendor/perfect-scrollbar.min.js HTTP/1.1" 200 19461
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/app.js HTTP/1.1" 200 70479
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/js/app-settings.js HTTP/1.1" 200 10084090
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:48 +0700] "GET /Servlet_CRM/assets/images/crm-logo.png HTTP/1.1" 200 37795
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:49 +0700] "GET /Servlet_CRM/assets/images/login/alexandre-godreau-431553-unsplash.jpg HTTP/1.1" 200 1030904
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:49 +0700] "GET /Servlet_CRM/assets/fonts/fontawesome-free/fa-solid-900.woff2 HTTP/1.1" 200 80148
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:49 +0700] "GET /Servlet_CRM/assets/fonts/fontawesome-free/fa-regular-400.woff2 HTTP/1.1" 200 13600
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:49 +0700] "GET /assets/images/favicon.ico HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:54 +0700] "POST /Servlet_CRM/login HTTP/1.1" 500 1489
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:56 +0700] "POST /Servlet_CRM/login HTTP/1.1" 500 1489
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:57 +0700] "POST /Servlet_CRM/login HTTP/1.1" 500 1489
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:42:57 +0700] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:43:16 +0700] "GET /Servlet_CRM/login HTTP/1.1" 200 4526
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:43:18 +0700] "POST /Servlet_CRM/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Jun/2021:23:43:18 +0700] "GET /Servlet_CRM/home HTTP/1.1" 200 138
